"activity_type" "subject" "mean_body_acc_x.mean" "mean_body_acc_y.mean" "mean_body_acc_z.mean" "mean_body_gyro_x.mean" "mean_body_gyro_y.mean" "mean_body_gyro_z.mean" "mean_total_acc_x.mean" "mean_total_acc_y.mean" "mean_total_acc_z.mean"
"Laying" 1 0.00117859922186391 -0.000372272800509187 0.00027683917301375 0.00168286378499216 -0.00986314118471938 0.0118977795792687 0.268270731351766 0.45823108326625 0.469528501553641
"Laying" 2 0.000307852958984472 0.00218874196694417 -0.00131804502044889 0.0140344099481266 -0.00923376637417155 0.00795893936694076 0.290973123990039 0.451547607453483 0.569940240324121
"Laying" 3 -0.000935370409667338 0.000262918390196572 0.000219386228470262 -0.0213545582635497 -0.00217713371620464 -0.00946992600613911 1.00719950543095 -0.0905433531316658 0.125683792937429
"Laying" 4 -0.00108367465139498 -0.0014759920601033 0.00137741843825897 0.00305528085343429 -0.0059711856903015 0.00344518245419792 0.521759993648727 0.28158112355 0.456019319866609
"Laying" 5 0.000716903330745193 -0.00533407160695613 0.00157627936657302 -0.0851470826233777 0.00499657807789363 0.0165981958894211 1.00012728425481 -0.0808068625467909 -0.105280836340655
"Laying" 6 -0.000611523706643777 0.00162321920067209 -0.000989318095935252 -0.0175958108185238 -0.00580511480021409 0.00210366655706963 0.978437073286732 0.0126205029316064 0.0485198766960302
"Laying" 7 -2.12597375225362e-06 9.05441952325721e-05 -0.000960356383406851 -0.000224806503295342 -0.000960971112304687 -0.000800868407817007 1.00345720247897 -0.220707295679087 -0.0938920172423888
"Laying" 8 -0.00277629018012731 -0.00535800510368634 -0.0045405469327827 -0.127200147875376 0.03683419242068 0.00725021679602141 0.946230720891204 -0.316242285661024 -0.17373285120204
"Laying" 9 0.000381013042585594 -0.00208072689588344 -0.00169802517370484 0.0262508734482397 -0.00532473745507656 0.00407366474869687 0.97234422078125 -0.103871350533703 0.30374791038125
"Laying" 10 -0.00751151348491474 0.00525477240285156 0.00605932237895878 0.0174383690272713 -0.00051533670983028 0.00313264736811288 0.575638841218184 0.460651710725329 0.311550396292093
"Laying" 11 5.4294400755484e-06 -0.000606387767898301 0.000724381478264474 -0.00501612440440515 -0.000187799060694901 0.00443933639675699 0.740661484059759 0.0168250179276864 0.27249927700466
"Laying" 12 0.000678148590073698 -0.00303844103564974 -0.00361899774568758 -0.00638787122807813 -0.0015085034375151 -0.00827659352813122 1.00763601364583 -0.160261333185505 0.0473066727916849
"Laying" 13 0.000100876971292843 0.0004802761999094 -0.00152719144182901 -0.0682442684770025 0.0159284197648664 0.0117154169012235 0.786750411275202 0.00527290542516633 0.0975960931077102
"Laying" 14 -0.00682767986892249 0.00210228857220588 0.000868159670685662 -0.0014845609850962 -0.00790797384800368 0.0150922349601477 0.527880311011029 0.371266326568636 0.28138382535242
"Laying" 15 -0.000169079401072936 0.00226203146554798 0.00195285277131207 -0.00324019401999479 -0.00120773914170605 -0.00147249277525901 0.990325074913194 0.0840400334711372 0.0398601811784722
"Laying" 16 0.000272748902126205 0.000168337282917411 -0.000470868091361295 0.014470103767868 -0.000804616093595982 0.00245314409066429 0.931238082232143 -0.0792605731617188 0.0632121369823772
